File,Hits,Tokens,Total
1150.firstgrammar.sci-lin.psd,25,24,182
1150.homiliubok.rel-ser.psd,356,346,2109
1210.jartein.rel-sag.psd,126,126,822
1210.thorlakur.rel-sag.psd,128,128,540
1250.sturlunga.nar-sag.psd,240,240,2224
1250.thetubrot.nar-sag.psd,34,34,246
1260.jomsvikingar.nar-sag.psd,271,270,1532
1270.gragas.law-law.psd,65,64,346
1275.morkin.nar-his.psd,276,276,2190
1300.alexander.nar-sag.psd,298,295,1383
1310.grettir.nar-sag.psd,299,297,2057
1325.arni.nar-sag.psd,224,223,1125
1350.bandamennM.nar-sag.psd,141,141,1223
1350.finnbogi.nar-sag.psd,339,339,2342
1350.marta.rel-sag.psd,178,176,977
1400.gunnar.nar-sag.psd,120,119,936
1400.gunnar2.nar-sag.psd,34,34,340
1400.viglundur.nar-sag.psd,175,175,1290
1450.bandamenn.nar-sag.psd,126,126,1034
1450.ectorssaga.nar-sag.psd,286,286,1950
1450.judit.rel-bib.psd,51,51,491
1450.vilhjalmur.nar-sag.psd,238,237,2414
1475.aevintyri.nar-rel.psd,175,175,1201
1480.jarlmann.nar-sag.psd,214,212,1283
1525.erasmus.nar-sag.psd,89,88,462
1525.georgius.nar-rel.psd,230,228,1060
1540.ntacts.rel-bib.psd,155,155,1185
1540.ntjohn.rel-bib.psd,88,85,1685
1593.eintal.rel-oth.psd,117,114,1552
1611.okur.rel-oth.psd,124,123,629
1628.olafuregils.bio-tra.psd,145,139,906
1630.gerhard.rel-oth.psd,137,134,701
1650.illugi.nar-sag.psd,274,272,1929
1659.pislarsaga.bio-aut.psd,128,128,324
1661.indiafari.bio-tra.psd,327,324,1388
1675.armann.nar-fic.psd,162,161,1018
1675.magnus.bio-oth.psd,60,59,204
1675.modars.nar-fic.psd,54,54,373
1680.skalholt.nar-rel.psd,78,78,870
1720.vidalin.rel-ser.psd,239,233,1112
1725.biskupasogur.nar-rel.psd,208,206,1105
1745.klim.nar-fic.psd,276,273,874
1790.fimmbraedra.nar-sag.psd,335,334,1603
1791.jonsteingrims.bio-aut.psd,284,283,1518
1830.hellismenn.nar-sag.psd,173,172,1411
1835.jonasedli.sci-nat.psd,48,46,163
1850.piltur.nar-fic.psd,319,315,1440
1859.hugvekjur.rel-ser.psd,200,197,1107
1861.orrusta.nar-fic.psd,191,191,1804
1882.torfhildur.nar-fic.psd,382,377,2000
1883.voggur.nar-fic.psd,31,31,130
1888.grimur.nar-fic.psd,119,116,625
1888.vordraumur.nar-fic.psd,195,194,759
1902.fossar.nar-fic.psd,413,406,1659
1907.leysing.nar-fic.psd,404,401,1521
1908.ofurefli.nar-fic.psd,343,341,1743
1920.arin.rel-ser.psd,341,333,1149
1985.margsaga.nar-fic.psd,490,483,1705
1985.sagan.nar-fic.psd,338,335,2008
2008.mamma.nar-fic.psd,389,384,1845
2008.ofsi.nar-sag.psd,451,438,1210
